Date,Close,High,Low,Open,Volume,Symbol
,Nvda,Nvda,Nvda,Nvda,Nvda,
2017-09-26,4.248653888702393,4.414686647203316,4.208875432786886,4.359589645049338,1125620000,NVDA
2017-09-27,4.341800689697266,4.35514280247762,4.2681730753790585,4.3390829740853585,713720000,NVDA
2017-09-28,4.340564727783203,4.352918149629695,4.293126532286321,4.348964809587343,435244000,NVDA
2017-09-29,4.416910648345947,4.440629278089542,4.379355562185796,4.424569921740527,619092000,NVDA
2017-10-02,4.422593116760254,4.496220729135472,4.373178950226963,4.467066196517253,503480000,NVDA
2017-10-03,4.431734085083008,4.461629892682882,4.387507950502814,4.428768962344339,390332000,NVDA
2017-10-04,4.4687957763671875,4.491032316652049,4.401344874669386,4.437911744999649,427848000,NVDA
2017-10-05,4.466325283050537,4.496715443302155,4.436429467143665,4.493256446647787,437364000,NVDA
2017-10-06,4.479420185089111,4.4927622991995095,4.422593674347502,4.43865350434073,318800000,NVDA
2017-10-09,4.580472946166992,4.613580824367152,4.497456549730889,4.516234096023161,563492000,NVDA
2017-10-10,4.667933940887451,4.767257048570241,4.626672937982428,4.729701977033086,974876000,NVDA
2017-10-11,4.7175984382629395,4.719081000236215,4.6385353780657566,4.6844905579601885,529508000,NVDA
2017-10-12,4.719820976257324,4.77071770115509,4.692642880109033,4.7210561300582095,528292000,NVDA
2017-10-13,4.807778835296631,4.81790888805464,4.735139910281769,4.7820832986068655,628728000,NVDA
2017-10-16,4.89030122756958,4.8932663511520404,4.774424367618072,4.837674996510432,576640000,NVDA
2017-10-17,4.8858537673950195,4.91426702028028,4.851263802361298,4.869547002271561,478596000,NVDA
2017-10-18,4.88165283203125,4.895488816179775,4.776400389400583,4.894748006674274,567316000,NVDA
2017-10-19,4.887089252471924,4.892030339297282,4.7549056370220475,4.804072867518001,570772000,NVDA
2017-10-20,4.8648529052734375,4.931315120425789,4.855958006129261,4.904137492423469,451620000,NVDA
2017-10-23,4.857934474945068,4.913031478109982,4.8376743705960825,4.886594662100638,428696000,NVDA
2017-10-24,4.908830642700195,4.910560140618481,4.841132816146702,4.867075284920986,407244000,NVDA
2017-10-25,4.784801959991455,4.922174569450265,4.723281292946227,4.869300923934547,828160000,NVDA
2017-10-26,4.834956645965576,4.846568788464492,4.78850713346413,4.812473170513148,322744000,NVDA
2017-10-27,4.987401008605957,4.987647945153264,4.861146687495084,4.887089633803852,572192000,NVDA
2017-10-30,5.036321640014648,5.09191252703023,4.971588445107657,4.987401338988907,504056000,NVDA
2017-10-31,5.109702110290527,5.1363858693371744,5.0625113053672255,5.068194145385301,411908000,NVDA
2017-11-01,5.119336128234863,5.187775237391756,5.0550972957457985,5.172456692192112,502576000,NVDA
2017-11-02,5.088205337524414,5.134407911185644,5.0316257757150415,5.089687899046397,342308000,NVDA
2017-11-03,5.156150817871094,5.156150817871094,5.073381837741226,5.119337010002746,353640000,NVDA
2017-11-06,5.179376602172852,5.188024095205326,5.106984597285844,5.119338024117086,389944000,NVDA
2017-11-07,5.238673210144043,5.260168942857903,5.1900003189786466,5.202106807631671,427700000,NVDA
2017-11-08,5.167764186859131,5.237932816308877,5.120326445947233,5.2342264114503685,522988000,NVDA
2017-11-09,5.072885990142822,5.097840239305992,4.950585522722204,5.071650836571605,978564000,NVDA
2017-11-10,5.340218544006348,5.402727873924595,5.228788930402446,5.264614512060595,1253256000,NVDA
2017-11-13,5.253498554229736,5.365669026581667,5.238180003423221,5.340220892018734,582376000,NVDA
2017-11-14,5.291793346405029,5.30711189398796,5.218907012746199,5.262638812941497,529292000,NVDA
2017-11-15,5.188023567199707,5.237932556375872,5.1341621792942735,5.236696931066687,501948000,NVDA
2017-11-16,5.228296279907227,5.29228819191815,5.219401851356777,5.262145438216103,441768000,NVDA
2017-11-17,5.22212028503418,5.320702178572845,5.207049141738053,5.285370924817787,515664000,NVDA
2017-11-20,5.289322853088379,5.301429340309361,5.200870567162747,5.237684373126776,396100000,NVDA
2017-11-21,5.337996959686279,5.349609576515742,5.297230274998905,5.329102530255256,399176000,NVDA
2017-11-22,5.314015865325928,5.3651955598619185,5.281379661396455,5.3651955598619185,356640000,NVDA
2017-11-24,5.3642048835754395,5.365194259341222,5.305855292416325,5.3303326752204,180752000,NVDA
2017-11-27,5.294482707977295,5.3740953974879755,5.291268415373265,5.3728593850297655,422896000,NVDA
2017-11-28,5.209676265716553,5.309068424112533,5.1486070835026965,5.299673129034991,512752000,NVDA
2017-11-29,4.85636568069458,5.195089625720682,4.7280458225551065,5.19237002151537,1396788000,NVDA
2017-11-30,4.962433338165283,5.011140523060024,4.862052727460005,4.925099730123825,823768000,NVDA
2017-12-01,4.887517929077148,4.948092899516803,4.758703863982493,4.927818716138382,811548000,NVDA
2017-12-04,4.615055084228516,4.952295869089205,4.561650495794354,4.94611439384774,1240844000,NVDA
2017-12-05,4.641757011413574,4.764390057264316,4.464730477433526,4.509728670971915,981488000,NVDA
2017-12-06,4.67933988571167,4.701097194532838,4.570057710516445,4.59132080298968,467032000,NVDA
2017-12-07,4.746836185455322,4.786642757234774,4.700601501463887,4.746094389511558,542600000,NVDA
2017-12-08,4.73447322845459,4.815816584140031,4.726066838217135,4.796778416279813,466876000,NVDA
2017-12-11,4.812850475311279,4.815817659154044,4.7327435852625275,4.748566993822628,372748000,NVDA
2017-12-12,4.718403339385986,4.792576805575623,4.694915334461821,4.76933590878044,455016000,NVDA
2017-12-13,4.603187561035156,4.760681731619869,4.595770073261886,4.759445719447847,554280000,NVDA
2017-12-14,4.61035680770874,4.681315968660733,4.564122130873634,4.5967583178654365,438164000,NVDA
2017-12-15,4.736205577850342,4.756479764710859,4.589342691931794,4.654367977515692,670036000,NVDA
2017-12-18,4.892958641052246,4.895925353802168,4.7470846536204405,4.776753667441552,477704000,NVDA
2017-12-19,4.848701477050781,4.888755162135989,4.820268477288111,4.883563061437948,373100000,NVDA
2017-12-20,4.86575984954834,4.8971595520700255,4.810129879766249,4.888011837461176,288820000,NVDA
2017-12-21,4.843262195587158,4.894194297611076,4.834855802702902,4.869222698688152,300904000,NVDA
2017-12-22,4.827932834625244,4.837328131362097,4.72854065867554,4.806422636860949,466276000,NVDA
2017-12-26,4.881584167480469,4.889248763486944,4.742633006875786,4.772549594955204,355080000,NVDA
2017-12-27,4.874908447265625,4.944136919044374,4.853645830964917,4.868233226946771,329488000,NVDA
2017-12-28,4.880594730377197,4.929549013275047,4.874413726938747,4.89864352450246,240248000,NVDA
2017-12-29,4.784170150756836,4.906803211997498,4.784170150756836,4.906803211997498,279964000,NVDA
2018-01-02,4.928807258605957,4.932516237964295,4.808894281840682,4.840541095162915,355616000,NVDA
2018-01-03,5.253192901611328,5.283604183491921,5.037596210151095,5.046249711926757,914704000,NVDA
2018-01-04,5.280883312225342,5.39115437359114,5.258631319129386,5.3345354867372725,583268000,NVDA
2018-01-05,5.325634479522705,5.3629680828282424,5.218824826340431,5.2957178923070725,580124000,NVDA
2018-01-08,5.488815784454346,5.562988779549512,5.404258117328671,5.449256790859537,881216000,NVDA
2018-01-09,5.487331390380859,5.533813177481108,5.405740919070777,5.494254189668967,497000000,NVDA
2018-01-10,5.530352592468262,5.5338139926221865,5.34046932868376,5.394862827042634,582664000,NVDA
2018-01-11,5.540242671966553,5.5943890631259245,5.5187320031195535,5.562988881489202,406032000,NVDA
2018-01-12,5.513045787811279,5.56274187554924,5.472497888625715,5.5283749809183576,359916000,NVDA
2018-01-16,5.4420857429504395,5.625046183767104,5.357528557782727,5.539500094617948,702348000,NVDA
2018-01-17,5.556064605712891,5.5659541158765675,5.362719989789174,5.456672458455386,538408000,NVDA
2018-01-18,5.549140930175781,5.603534406430741,5.505625866223687,5.53677845494951,408632000,NVDA
2018-01-19,5.689330101013184,5.713559900974911,5.612437505194588,5.639386909211964,609380000,NVDA
2018-01-22,5.777841091156006,5.7795717904674975,5.639631782678027,5.697239547580634,550944000,NVDA
2018-01-23,5.906905651092529,5.929651861577462,5.812705573777624,5.831248587885473,475228000,NVDA
2018-01-24,5.83001184463501,5.9459692137338385,5.77438186612525,5.910118730740841,579972000,NVDA
2018-01-25,5.843610763549805,5.92767374353841,5.828776258722524,5.884405769719931,409884000,NVDA
2018-01-26,6.016186714172363,6.016433822292154,5.874515950769539,5.887372646704361,516356000,NVDA
2018-01-29,6.10321569442749,6.134368762383699,5.948935832675273,6.001598622488833,455116000,NVDA
2018-01-30,6.00110387802124,6.092584329975,5.894541815784661,5.96129778302819,570832000,NVDA
2018-01-31,6.077256202697754,6.163049882548617,6.043878213239483,6.0765144067212935,478576000,NVDA
2018-02-01,5.946216583251953,6.104453025922704,5.885889190010813,5.897262294327344,519224000,NVDA
2018-02-02,5.773640155792236,5.883664102289417,5.715538152114375,5.8596814105670205,718464000,NVDA
2018-02-05,5.283602714538574,5.76646986569513,5.068500299222557,5.612437105332238,1165204000,NVDA
2018-02-06,5.577328205108643,5.580294916958085,5.043775618806802,5.0536656014656005,1114800000,NVDA
2018-02-07,5.656941890716553,5.809491565309387,5.605020882782141,5.6762271733639444,802932000,NVDA
2018-02-08,5.378050327301025,5.815671738181432,5.377802747598343,5.782541329739098,1144000000,NVDA
